Date,Team,Location
20250905,NYA,TAM02
20250906,NYA,TAM02
20250907,NYA,TAM02
20250912,NYA,TAM02
20250913,NYA,TAM02
20250914,NYA,TAM02
20250915,NYA,TAM02
20250916,NYA,TAM02
20250917,NYA,TAM02
20250918,NYA,TAM02
20250919,NYA,TAM02
20250920,NYA,TAM02
20250921,NYA,TAM02
20250923,NYA,TAM02
20250924,NYA,TAM02
20250925,NYA,TAM02
20250926,NYA,TAM02
20250927,NYA,TAM02
20250928,NYA,TAM02
20250327,TBA,TOR02
20250328,TBA,TOR02
20250329,TBA,TOR02
20250330,TBA,BAL12
20250331,TBA,BAL12
20250402,TBA,BAL12
20250403,TBA,BAL12
20250407,TBA,BAL12
20250408,TBA,BAL12
20250409,TBA,BAL12
20250410,TBA,TOR02
20250411,TBA,TOR02
20250412,TBA,TOR02
20250413,TBA,TOR02
20250414,TBA,TOR02
20250415,TBA,TOR02
20250416,TBA,TOR02
20250417,TBA,BOS07
20250418,TBA,BOS07
20250419,TBA,BOS07
20250420,TBA,BOS07
20250425,TBA,BOS07
20250426,TBA,BOS07
20250427,TBA,BOS07
20250428,TBA,BOS07
20250429,TBA,BOS07
20250430,TBA,BOS07
20250501,TBA,BOS07
20250502,TBA,BOS07
20250503,TBA,BOS07
20250504,TBA,BOS07
20250513,TBA,BOS07
20250514,TBA,BOS07
20250515,TBA,BOS07
20250522,TBA,BOS07
20250523,TBA,BOS07
20250524,TBA,BOS07
20250525,TBA,BOS07
20250606,TBA,BOS07
20250607,TBA,BOS07
20250608,TBA,BOS07
20250609,TBA,BOS07
20250610,TBA,BOS07
20250611,TBA,BOS07
20250613,TBA,BOS07
20250614,TBA,BOS07
20250615,TBA,BOS07
20250616,TBA,NYC21
20250617,TBA,NYC21
20250618,TBA,NYC21
20250619,TBA,NYC21
20250620,TBA,NYC21
20250621,TBA,NYC21
20250622,TBA,NYC21
20250627,TBA,NYC21
20250628,TBA,NYC21
20250629,TBA,NYC21
20250630,TBA,NYC21
20250701,TBA,NYC21
20250702,TBA,NYC21
20250703,TBA,NYC21
20250710,TBA,TAM02
20250711,TBA,TAM02
20250712,TBA,TAM02
20250713,TBA,TAM02
20250718,TBA,TAM02
20250719,TBA,TAM02
20250720,TBA,TAM02
20250721,TBA,TAM02
20250722,TBA,TAM02
20250723,TBA,TAM02
20250728,TBA,TAM02
20250729,TBA,TAM02
20250730,TBA,TAM02
20250731,TBA,TAM02
20250818,TBA,TAM02
20250819,TBA,TAM02
20250820,TBA,TAM02
20250821,TBA,TAM02
20250822,TBA,TAM02
20250823,TBA,TAM02
20250824,TBA,TAM02
20250825,TBA,TAM02
20250826,TBA,TAM02
20250827,TBA,TAM02
20250828,TBA,TAM02
20250905,TBA,TAM02
20250906,TBA,TAM02
20250907,TBA,TAM02
20250912,TBA,TAM02
20250913,TBA,TAM02
20250914,TBA,TAM02
20250915,TBA,TAM02
20250916,TBA,TAM02
20250917,TBA,TAM02
20250918,TBA,TAM02
20250919,TBA,TAM02
20250920,TBA,TAM02
20250921,TBA,TAM02
20250923,TBA,TAM02
20250924,TBA,TAM02
20250925,TBA,TAM02
20250926,TBA,TAM02
20250927,TBA,TAM02
20250928,TBA,TAM02
20250327,TOR,TAM02
20250328,TOR,TAM02
20250329,TOR,TAM02
20250330,TOR,TAM02
20250331,TOR,TOR02
20250402,TOR,TOR02
20250403,TOR,TOR02
20250407,TOR,TOR02
20250408,TOR,TOR02
20250409,TOR,TOR02
20250410,TOR,TOR02
20250411,TOR,TOR02
20250412,TOR,TOR02
20250413,TOR,TOR02
20250414,TOR,TOR02
20250415,TOR,TOR02
20250416,TOR,TOR02
20250417,TOR,TOR02
20250418,TOR,TOR02
20250419,TOR,TOR02
20250420,TOR,TOR02
20250425,TOR,TOR02
20250426,TOR,BAL12
20250427,TOR,BAL12
20250428,TOR,BAL12
20250429,TOR,BAL12
20250430,TOR,BAL12
20250501,TOR,BAL12
20250502,TOR,BAL12
20250503,TOR,TOR02
20250504,TOR,TOR02
20250513,TOR,TOR02
20250514,TOR,TOR02
20250515,TOR,TOR02
20250522,TOR,TOR02
20250523,TOR,TOR02
20250524,TOR,TOR02
20250525,TOR,TOR02
20250606,TOR,TOR02
20250607,TOR,TOR02
20250608,TOR,TOR02
20250609,TOR,TOR02
20250610,TOR,TOR02
20250611,TOR,TOR02
20250613,TOR,TOR02
20250614,TOR,TOR02
20250615,TOR,TOR02
20250616,TOR,TOR02
20250617,TOR,TOR02
20250618,TOR,TOR02
20250619,TOR,TOR02
20250620,TOR,TOR02
20250621,TOR,TOR02
20250622,TOR,TOR02
20250627,TOR,TOR02
20250628,TOR,TOR02
20250629,TOR,TOR02
20250630,TOR,BOS07
20250701,TOR,NYC21
20250702,TOR,NYC21
20250703,TOR,NYC21
